iter	Passed	Remaining
0	67	67215
1	67	33824
2	68	22678
3	68	17090
4	69	13754
5	69	11528
6	69	9929
7	70	8726
8	70	7793
9	71	7062
10	71	6467
11	72	5993
12	74	5631
13	74	5270
14	75	4961
15	76	4686
16	76	4432
17	77	4210
18	77	4013
19	78	3827
20	78	3663
21	78	3510
22	79	3372
23	79	3245
24	80	3129
25	80	3022
26	81	2922
27	81	2828
28	81	2744
29	82	2665
30	82	2590
31	83	2520
32	83	2454
33	84	2395
34	84	2337
35	85	2282
36	85	2230
37	86	2181
38	86	2135
39	89	2148
40	90	2109
41	90	2074
42	91	2035
43	91	1998
44	92	1961
45	92	1926
46	93	1891
47	93	1856
48	93	1823
49	94	1792
50	94	1762
51	95	1733
52	95	1705
53	95	1678
54	96	1652
55	96	1626
56	96	1602
57	97	1579
58	97	1556
59	97	1533
60	98	1512
61	98	1492
62	99	1472
63	99	1453
64	99	1434
65	100	1416
66	100	1399
67	100	1382
68	101	1366
69	101	1350
70	102	1335
71	102	1319
72	102	1304
73	103	1289
74	103	1275
75	103	1261
76	104	1247
77	104	1233
78	104	1222
79	105	1210
80	105	1197
81	105	1185
82	106	1171
83	106	1159
84	106	1148
85	107	1137
86	107	1126
87	107	1115
88	107	1105
89	108	1095
90	108	1085
91	109	1076
92	109	1066
93	109	1057
94	110	1048
95	110	1040
96	110	1031
97	111	1022
98	111	1014
99	111	1006
100	112	998
101	112	991
102	112	983
103	113	976
104	113	968
105	114	962
106	114	954
107	114	947
108	115	940
109	115	933
110	115	926
111	116	921
112	116	915
113	116	909
114	117	903
115	117	897
116	118	891
117	118	884
118	118	879
119	119	872
120	119	867
121	119	861
122	120	856
123	120	850
124	120	844
125	120	839
126	121	832
127	121	827
128	121	822
129	122	816
130	122	811
131	122	806
132	122	801
133	123	796
134	123	791
135	123	787
136	124	783
137	124	779
138	125	774
139	125	770
140	125	765
141	125	760
142	126	756
143	126	752
144	126	748
145	127	744
146	127	740
147	127	736
148	128	732
149	128	728
150	128	724
151	129	720
152	129	716
153	129	713
154	130	709
155	130	705
156	130	702
157	131	698
158	131	695
159	131	692
160	132	688
161	132	686
162	133	683
163	133	680
164	133	677
165	134	674
166	134	670
167	134	667
168	135	664
169	135	661
170	135	658
171	136	655
172	136	652
173	136	649
174	137	646
175	137	643
176	137	640
177	137	637
178	138	634
179	138	631
180	139	629
181	139	626
182	139	623
183	140	621
184	140	618
185	140	615
186	141	613
187	141	611
188	141	608
189	142	606
190	142	604
191	142	601
192	143	599
193	143	596
194	143	594
195	144	592
196	144	589
197	144	587
198	145	584
199	145	582
200	145	579
201	146	577
202	146	574
203	146	572
204	147	570
205	147	569
206	148	567
207	148	566
208	149	563
209	149	561
210	149	559
211	150	557
212	150	555
213	150	553
214	151	551
215	151	549
216	151	547
217	152	545
218	152	543
219	152	541
220	153	539
221	153	537
222	153	535
223	154	533
224	154	531
225	154	529
226	155	528
227	155	526
228	155	524
229	156	522
230	156	520
231	156	519
232	157	517
233	157	515
234	157	513
235	158	512
236	158	510
237	158	508
238	159	506
239	159	504
240	159	503
241	160	501
242	160	499
243	160	497
244	161	496
245	161	494
246	161	493
247	162	492
248	162	490
249	163	489
250	163	487
251	163	486
252	164	484
253	164	483
254	165	482
255	165	480
256	165	479
257	166	477
258	166	476
259	166	474
260	167	472
261	167	471
262	167	469
263	167	468
264	168	466
265	168	465
266	168	463
267	169	462
268	169	461
269	170	459
270	170	458
271	170	457
272	171	456
273	171	454
274	172	453
275	172	452
276	173	451
277	173	450
278	173	449
279	174	447
280	174	446
281	174	445
282	175	443
283	175	442
284	175	441
285	176	440
286	176	438
287	177	437
288	177	436
289	177	435
290	178	434
291	178	433
292	179	432
293	179	430
294	179	429
295	180	428
296	180	427
297	180	426
298	181	424
299	181	423
300	181	422
301	182	420
302	182	419
303	182	418
304	182	416
305	183	415
306	183	414
307	183	413
308	184	411
309	184	410
310	184	409
311	185	408
312	185	407
313	186	406
314	186	405
315	186	404
316	187	403
317	187	402
318	188	401
319	188	400
320	188	399
321	189	398
322	189	397
323	190	396
324	190	395
325	190	394
326	191	393
327	191	392
328	191	390
329	192	390
330	192	389
331	192	388
332	193	387
333	193	386
334	194	385
335	194	384
336	194	383
337	195	382
338	195	381
339	195	379
340	196	378
341	196	377
342	196	376
343	197	375
344	197	374
345	197	373
346	198	372
347	198	371
348	198	370
349	199	369
350	199	368
351	199	367
352	200	366
353	200	365
354	200	364
355	201	363
356	201	362
357	201	361
358	202	360
359	202	360
360	202	359
361	203	358
362	203	357
363	204	356
364	204	355
365	204	354
366	205	353
367	205	352
368	205	351
369	206	350
370	206	349
371	206	349
372	207	348
373	207	347
374	208	346
375	208	345
376	208	345
377	209	344
378	209	343
379	209	342
380	210	341
381	210	340
382	211	339
383	211	339
384	211	338
385	211	337
386	212	336
387	212	335
388	212	334
389	213	333
390	213	332
391	213	331
392	214	330
393	214	329
394	214	328
395	215	328
396	215	327
397	215	326
398	216	325
399	216	324
400	216	323
401	217	322
402	217	322
403	217	321
404	218	320
405	218	319
406	218	318
407	219	318
408	219	317
409	219	316
410	220	315
411	220	314
412	220	314
413	221	313
414	222	313
415	222	312
416	223	312
417	223	311
418	224	310
419	224	309
420	224	309
421	225	308
422	225	307
423	225	306
424	226	306
425	226	305
426	226	304
427	227	303
428	227	302
429	227	302
430	228	301
431	228	300
432	228	299
433	229	299
434	229	298
435	229	297
436	230	296
437	230	295
438	231	295
439	231	294
440	231	293
441	232	293
442	232	292
443	232	291
444	233	290
445	233	290
446	233	289
447	234	288
448	234	287
449	234	287
450	235	286
451	235	285
452	236	285
453	236	284
454	236	283
455	237	283
456	237	282
457	238	281
458	238	281
459	238	280
460	239	279
461	239	279
462	240	278
463	240	277
464	240	277
465	241	276
466	241	275
467	242	275
468	242	274
469	242	273
470	243	273
471	243	272
472	243	271
473	244	271
474	244	270
475	245	269
476	245	269
477	245	268
478	246	267
479	246	267
480	246	266
481	247	265
482	247	265
483	247	264
484	248	263
485	248	263
486	249	262
487	249	261
488	249	261
489	250	260
490	250	259
491	250	259
492	251	258
493	251	257
494	251	257
495	252	256
496	252	255
497	253	255
498	253	254
499	254	254
500	254	253
501	254	252
502	255	252
503	255	251
504	256	250
505	256	250
506	256	249
507	257	248
508	257	248
509	257	247
510	258	246
511	258	246
512	258	245
513	259	244
514	259	244
515	259	243
516	260	243
517	260	242
518	260	241
519	261	241
520	261	240
521	262	240
522	262	239
523	262	238
524	263	238
525	263	237
526	264	236
527	264	236
528	264	235
529	265	235
530	265	234
531	265	233
532	266	233
533	266	232
534	266	231
535	267	231
536	267	230
537	268	230
538	268	229
539	268	229
540	269	228
541	269	227
542	270	227
543	270	226
544	270	225
545	271	225
546	271	224
547	271	224
548	272	223
549	272	222
550	272	222
551	273	221
552	273	221
553	273	220
554	274	219
555	274	219
556	274	218
557	275	217
558	275	217
559	275	216
560	276	216
561	276	215
562	277	215
563	277	214
564	277	214
565	278	213
566	278	212
567	279	212
568	279	211
569	280	211
570	280	210
571	280	210
